game_dt,game_time_est,home_team_ind,team_id,team_name,team,team_lat,team_lon,opp_id,opp_name,opp,opp_lat,opp_lon,team_travel_m,team_travel_km,team_travel_mi,game_id,route_order
2020-08-11T00:00:00Z,9:00,1,WSH,Washington Wizards,Wizards,38.8981,-77.0208,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,0,0,0,WSH_MIL,2
2020-08-13T00:00:00Z,,0,WSH,Washington Wizards,Wizards,38.8981,-77.0208,BOS,Boston Celtics,Celtics,42.3662,-71.0621,634122.430334365,634.122430334365,394.025288659295,WSH_BOS,1
2020-07-31T00:00:00Z,6:30,1,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,BOS,Boston Celtics,Celtics,42.3662,-71.0621,0,0,0,MIL_BOS,2
2020-08-02T00:00:00Z,8:30,0,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,HOU,Houston Rockets,Rockets,29.7508,-95.3621,1621614.85233813,1621.61485233813,1007.6244424122,MIL_HOU,1
2020-08-04T00:00:00Z,1:30,1,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,BKN,Brooklyn Nets,Nets,40.6826,-73.9754,0,0,0,MIL_BKN,2
2020-08-06T00:00:00Z,4:00,1,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,MIA,Miami Heat,Heat,25.7814,-80.187,0,0,0,MIL_MIA,2
2020-08-08T00:00:00Z,8:30,0,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,1381295.46617736,1381.29546617736,858.296945114091,MIL_DAL,1
2020-08-10T00:00:00Z,6:30,1,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,TOR,Toronto Raptors,Raptors,43.6435,-79.3791,0,0,0,MIL_TOR,2
2020-08-11T00:00:00Z,9:00,0,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,WSH,Washington Wizards,Wizards,38.8981,-77.0208,1024514.15510713,1024.51415510713,636.603385073074,MIL_WSH,1
2020-08-13T00:00:00Z,,0,MIL,Milwaukee Bucks,Bucks,43.0451,-87.9174,MEM,Memphis Grizzlies,Grizzlies,35.1381,-90.0506,899202.099411532,899.202099411532,558.738107713443,MIL_MEM,1
